,JobTitle,Require
44,FRONTEND,"REACT JS, HTML & CSS, FRONT-END, NEXTJS, REDUX"
45,SOFTWARE," C#,  LINUX, C++,  C"
46,SOFTWARE,"C#, JAVA, PYTHON"
47,SECURITY,"PENETRATION TEST, ENGLISH - GOOD, LINUX, APPLICATION SECURITY"
48,PHP,"MVC,SQL,MYSQL,HTML,LINUX,AJAX"
49,.NET,"SQL, DATABASE, .NET"
50,JAVA,"SQL, JAVA, ORACLE"
51,FRONTEND,"ANGULAR, JAVASCRIPT, REACTJS"
52,QC," AUTOMATION TEST, JAVA"
53,DATA ANALYST,"JAVA,PYTHON,C/C++,POWER BI,SCALA"
54,JAVA,"KOTLIN,GROOVY,JSON,SCALA"
55,GAME,"C++, JAVA, GAMES"
56,FULLSTACK,"JWT,TAILWIND,NODEJS,GITHUB,MONIT,AWS"
57,SYSTEM,"SYSTEM, JAVASCRIPT, DATABASE"
58,MOBILE,"REACT NATIVE,SWIFT,C#,KOTLIN"
59,GAME,"JAVA,DART,C,C++,PYTHON"
60,DEVOPS,"GOLANG,JAVA,PYTHON,SQL,JAVASCRIPT,BASH"
61,DATA ANALYST,"JULIA,SCALA,JAVASCRIPT,C/C++,PYTHON"
62,SOFTWARE ARCHITECT," NODEJS,  SOFTWARE ARCHITECT, .NET"
63,DEVOPS,"PYTHON,LINUX,DEVOPS"
64,SOFTWARE,"SQL,JAVASCRIPT,RUBY"
65,.NET,"REDIS,GITLAB"
66,GAME,"C,GOLANG,JAVASCRIPT,C#,DART,PYTHON"
67,FRONTEND,"NEXTJS,NPM,JAVASCRIPT,GRAPHQL,VUEJS"
68,SOFTWARE ARCHITECT,"SOFTWARE ARCHITECT,AWS"
69,DATA,"GOLANG,TABLEAU,APACHE,PYTHON,POSTGRESQL,SPARK"
70,DATA,"PYTHON,TABLEAU,JAVA"
71,TESTER,"QA QC,TESTER,SQL"
72,PRODUCT MANAGER,"PROJECT MANAGER, PRODUCT MANAGER, BUSINESS ANALYST"
73,.NET,"AZURE,MICRO-SERVICES,DOCKER"
74,SOFTWARE ARCHITECT,"C#, .NET, SOFTWARE ARCHITECT"
75,SCRUM MASTER," AGILE & SCRUM, SCRUM MASTER"
76,FRONTEND,"JAVASCRIPT,HTML5,.NET"
77,DATA,"PYTHON, AWS, DATABASE"
78,SOFTWARE,"R,GOLANG,C++,JAVA"
79,SOFTWARE,"VUEJS, REACTJS, .NET"
80,BACKEND,"DOCKER,RUST,KAFKA,GIT,PHP,KUBERNETES"
81,FRONTEND,"JAVASCRIPT,NPM,GIT,NEXTJS,HTML,VUEJS"
82,FRONTEND,"GITHUB,GRAPHQL,CSS,ANGULAR,JAVASCRIPT"
83,SOFTWARE," .NET,  ASP.NET, C#,  RESTFUL API,  .NET CORE"
84,SYSTEM ADMIN," AGILE,  SYSTEM ADMIN, SCRUM"
85,GAME,"GOLANG,LUA"
86,SOFTWARE,"JAVA,AWS,DATABASE"
87,DATA,"SPARK,KAFKA,APACHE,POWER BI,GOLANG,SQL"
88,FULLSTACK,"TYPESCRIPT, REACTJS, NODEJS"
89,SOFTWARE,"JAVASCRIPT,C++,SQL"
90,SOFTWARE,"NODEJS, JAVA, JAVASCRIPT"
91,JAVA,"JAVA,ENGLISH,SPRING"
92,SOFTWARE,"JAVASCRIPT, ASP.NET, PHP"
93,DEVOPS,"PERL,PHP,POWERSHELL,RUBY,C,SQL"
94,BACKEND,"NODEJS,GOLANG,ENGLISH, ACCEPTED"
95,BUSINESS ANALYST,"POWERSHELL,SPSS,MONGODB,TABLEAU,POWER BI,SQL"
96,BACKEND,"DOCKER,CI/CD,PYTHON"
97,MOBILE,"IOS, FLUTTER, ANDROID"
98,DEVOPS,"PYTHON,POWERSHELL,RUBY,PUPPET,BASH"
99,TESTER,"KOTLIN,PHP,JAVASCRIPT,RUBY,PYTHON"
100,PHP,"JQUERY,MYSQL,JAVASCRIPT"
101,FULLSTACK,"MYSQL,REACTJS,JAVA"
102,MOBILE," BACK-END,  ANDROID, MOBILE"
103,FRONTEND,"JAVASCRIPT,JQUERY,HTML,ENGLISH"
104,FRONTEND," AGILE,  ANGULAR, JAVASCRIPT"
105,BACKEND," SQL,  NODEJS, JAVASCRIPT"
106,TECHNICAL MANAGER,"TEAM LEADER,SPRING,JAVA"
107,CLOUD,"DEVOPS, .NET, CISCO, CLOUD MIGRATION SERVICE (AWS, VMWARE"
108,BACKEND," .NET,  JAVA, JAVASCRIPT,  BACK-END"
109,MOBILE,"SWIFT, IOS, OOP"
110,CLOUD," IT SUPPORT,  CLOUD, AWS"
111,FRONTEND,"GITHUB,REACTJS,CSS"
112,TESTER," C LANGUAGE,  TESTER, EMBEDDED"
113,SOFTWARE,"ERP, ENGLISH, JAVA"
114,DATA," PYTHON,  DATABASE, AWS"
115,.NET,"ASP.NET, JAVASCRIPT, .NET"
116,PHP,"MYSQL,AJAX"
117,JAVA," ORACLE,  JAVA, SQL"
118,TESTER,"PHP,PYTHON,C#,KOTLIN,JAVASCRIPT"
119,FRONTEND,"JAVASCRIPT, REACTJS, REACT NATIVE"
120,SOFTWARE,"REACTJS, JAVASCRIPT, GOLANG"
121,JAVA,"JAVA,SPRING,OOP"
122,MOBILE," IOS,  REACT NATIVE, ANDROID"
123,PHP,"OOP, PHP"
124,UI/UX DESIGNER,"CSS,SKETCH,PHOTOSHOP,FIGMA,JAVASCRIPT"
125,FRONTEND,"FLUTTER, REACT NATIVE, ANDROID"
126,GAME,"DESIGNER, UNITY, GAMES"
127,BACKEND," AZURE,  NODEJS, JAVASCRIPT"
128,CLOUD,"CLOUD,NOSQL,PYTHON"
129,TESTER,"EMBEDDED, LINUX, TESTER"
130,.NET,"MICRO-SERVICES,GITLAB,GITHUB"
131,SOFTWARE,"REACTJS, JAVA, SCALA"
132,FRONTEND,"NODEJS, JAVASCRIPT, REACTJS, RESTFUL API, HTML & CSS"
133,DATA,"SQL, JAVA, NOSQL, KAFKA, ETL"
134,PYTHON," CLOUD,  PYTHON, AWS"
135,DEVOPS,"CLOUD, DEVOPS, AWS"
136,BUSINESS ANALYST,"SQL, BUSINESS ANALYST, AGILE"
137,FRONTEND,"SWIFT, KOTLIN"
138,SOFTWARE,"PHP,JAVASCRIPT,HTML,SQL SERVER"
139,GAME," GAMES,  C++, UNITY"
140,MOBILE,"SWIFT, ENGLISH, IOS"
141,DEVOPS,"PHP,GOLANG,C,PERL,BASH"
142,TESTER,"SOFTWARE, ENGLISH, PROBLEM SOLVING SKILL, QUALITY ANALYST, AUTOMATION TESTER"
143,SYSTEM," JAPANESE ( N1 OR N2),  JAVASCRIPT, BRSE,  HTML & CSS"
144,IT HELPDESK,"ENGLISH,IT SUPPORT"
145,PROJECT MANAGER,"BRIDGE, PROJECT MANAGER, JAPANESE"
146,MOBILE,"SWIFT,IOS,OBJECTIVE-C,MOBILE"
147,FULLSTACK,"PHP,HTML5,JAVASCRIPT,MYSQL,NODEJS"
148,JAVA,"SQL, ORACLE, JAVA"
149,MOBILE,"IOS, AGILE, ANDROID"
150,PHP,"LARAVEL, PHP, MVC"
151,SOFTWARE ARCHITECT,"REACTJS,SOFTWARE ARCHITECT,UI-UX"
152,BACKEND,"ELIXIR - RAILS, BACK-END, NODEJS"
153,.NET,"AGILE, SQL, ASP.NET"
154,SYSTEM,"SYSTEM,LINUX,OPENSTACK"
155,FRONTEND,"JAVASCRIPT,HTML5,ANGULAR"
156,SYSTEM,"ENGLISH, JAPANESE, SAP"
157,FRONTEND," HTML5,  JAVASCRIPT, CSS"
158,QA," MANUAL TEST,  TESTER, QA/QC,  AUTOMATION QA"
159,JAVA,"DATABASE, JAVA, C#"
160,DATA ANALYST,"PYTHON,JULIA,POWER BI,JAVASCRIPT,SCALA,JAVA"
161,SOFTWARE,"GOLANG,C#,PYTHON,JAVASCRIPT,JAVA"
162,SOFTWARE,"C++,JAVA,C#,.NET,IT SUPPORT,WEB APPLICATION"
163,PHP,"ENGLISH, PHP, AWS"
164,BUSINESS ANALYST,"JAVASCRIPT,R,SAS,VBA,VISIO,PYTHON"
165,FULLSTACK,"LARAVEL, JAVASCRIPT, PHP, TECHNICAL MANAGER, CODEIGNITER"
166,BACKEND,"NOSQL, NODEJS, SQL"
167,FULLSTACK,"JWT,AWS,REACTJS,NODEJS,POSTGRESQL,LINUX"
168,FULLSTACK," PHP,  JAVASCRIPT, MYSQL"
169,.NET,"SQL,.NET CLI,CI/CD,C#,AZURE"
170,DEVOPS,"GOLANG,JAVA,PUPPET"
171,SOFTWARE," PHP,  JAVA, LARAVEL"
172,PROJECT MANAGER,"PROJECT MANAGER,MANAGER"
173,BACKEND,"KAFKA,SQL,KUBERNETES,APACHE,NOSQL"
174,JAVA,"KOTLIN,JAVASCRIPT,MAVEN,SQL,JAVA"
175,FULLSTACK," NODEJS,  REACTJS, TYPESCRIPT"
176,.NET,"CI/CD,GIT,MICRO-SERVICES,C#,SQL,GITLAB"
177,DATA ANALYST," DATA ANALYTICS,  SQL, PYTHON,  SPSS"
178,C/C++,"EMBEDDED SYSTEM, C++, C LANGUAGE, FIRMWARE"
179,FRONTEND,"REACTJS, VUEJS, REACT NATIVE"
180,.NET,"ASP.NET, C#, .NET"
181,SOFTWARE,"GOLANG,SQL,R,JAVA"
182,FRONTEND," FRONT-END, ANGULAR"
183,PHP,"HTML,CSS,JAVASCRIPT,MYSQL,AJAX,JQUERY"
184,JAVA,"APACHE,SQL,CSS,HTML,JAVA"
185,JAVA," JAVA, BACK-END"
186,FULLSTACK," JAVA,  PHP, SQL"
187,TESTER,"JAVA,RUBY,C#"
188,MOBILE,"HTML5, ANDROID, IOS"
189,PHP,"LINUX,PHP,SQL"
190,DEVOPS,"DEVOPS,LINUX,CLOUD"
191,DEVOPS,"PUPPET,C"
192,DEVOPS,"SQL,C,JAVASCRIPT,POWERSHELL,RUBY"
193,DATA,"GOLANG,MONGODB"
194,UI/UX DESIGNER,"ADOBE XD,JAVASCRIPT,CSS,HTML"
195,BUSINESS ANALYST,"AGILE, ENGLISH, BUSINESS ANALYST"
196,C/C++,"LINUX,OOP,MYSQL,SQL SERVER,C/C++"
197,JAVA,"SCRUM, JAVA, AGILE, JAVA SPRING BOOT"
198,FULLSTACK,"NODEJS,JWT,POSTGRESQL"
199,MOBILE,"FLUTTER,ENGLISH,UI-UX"
200,BACKEND,"KUBERNETES,RUST,CI/CD,SOAP"
201,GAME," JAVASCRIPT,  COCOS, TYPESCRIPT"
202,SYSTEM,"TEAM LEADER, IT SUPPORT, SYSTEM"
203,MOBILE," SWIFT,  IOS, FLUTTER"
204,TESTER,"PYTHON,PHP,RUBY,JAVA,KOTLIN,JAVASCRIPT"
205,SOFTWARE ARCHITECT,"GOLANG,TEAM LEADER,SOFTWARE ARCHITECT"
206,.NET,"GITLAB,.NET CLI,REST,CI/CD,GITHUB,ASP.NET"
207,PHP,"DRUPAL, JAVASCRIPT, PHP, LARAVEL, WORDPRESS, CODEIGNITER"
208,FULLSTACK,"LINUX,JWT,GIT,RESTFUL APIS"
209,DATA,"MYSQL,DATABASE"
210,.NET,"C#, ASP.NET, .NET, .NET CORE, BACK-END"
211,SOFTWARE,"JAVA,JAVASCRIPT,R,PYTHON"
212,SOFTWARE,"GOLANG,RUBY,R"
213,.NET,"ASP.NET,GITHUB,.NET CLI,MICRO-SERVICES,GIT,AZURE"
214,FULLSTACK," VUEJS,  JAVA, PYTHON"
215,DEVOPS,"PYTHON,SQL,GOLANG,JAVA,PHP"
216,DATA,"SQL, DATA ANALYST, PYTHON"
217,TESTER,"JAVASCRIPT,KOTLIN,RUBY,JAVA,PHP"
218,SOFTWARE,"GOLANG, PYTHON, C++, SOFTWARE"
219,CLOUD,"OPENSTACK DEVELOPMENT, DOCKER, CLOUD, KUBERNETES, CI/CD"
220,BUSINESS ANALYST,"DATABASE, BUSINESS ANALYST, SQL"
221,FRONTEND,"CSS, TYPESCRIPT, ANGULAR"
222,FRONTEND,"REACTJS,JAVASCRIPT,CSS,TYPESCRIPT,VUEJS"
223,FULLSTACK,"REACTJS, TEAM LEADER, NODEJS"
224,FRONTEND,"REACTJS,NEXTJS,VITE"
225,TESTER,"AGILE, QA QC, TESTER"
226,TESTER," QA QC,  TESTER, SCRUM"
227,SYSTEM,"LINUX,  BRIDGE, JAPANESE"
228,FULLSTACK,"REACTJS,MONIT,GITHUB,RESTFUL APIS,LINUX"
229,FULLSTACK,".NET,JAVASCRIPT,JAVA"
230,UI/UX DESIGNER,"UI-UX, DESIGNER, CSS"
231,BACKEND,"JAVA,JAVASCRIPT,.NET,BACK-END"
232,C/C++,"TEAM LEADER, EMBEDDED, C++"
233,TESTER,"RUBY,PHP,KOTLIN,C#,PYTHON"
234,UI/UX DESIGNER,"FIGMA,  DESIGNER, UI-UX"
235,BACKEND,"PYTHON,APACHE"
236,BACKEND,"NODEJS, C#, .NET"
237,FRONTEND,"HTML5, WORDPRESS, PHP"
238,UI/UX DESIGNER,"JAVASCRIPT,XML,ADOBE XD,SKETCH,CSS"
239,GAME,"GOLANG,JAVASCRIPT,C,C++,DART,JAVA"
240,BUSINESS ANALYST,"TEAM LEADER, PRODUCT MANAGER, BUSINESS ANALYST"
241,BUSINESS ANALYST,"SPSS,R,TABLEAU,JAVASCRIPT,VISIO,SQL"
242,GAME," C#,  ANDROID, UNITY,  UNITY2D,  GAME MOBILE,  UNITY3D"
243,TESTER," AGILE,  QA QC, SCRUM"
244,.NET,".NET CLI,GIT,GITHUB,DOCKER,MICRO-SERVICES"
245,SOFTWARE,"ANGULAR, SQL, .NET"
246,TESTER,"TESTER,AUTOMATION TEST,QA QC"
247,JAVA,"JAVA 8, WEB"
248,TESTER," TEAM LEADER,  QA QC, TESTER"
249,TESTER,"EMBEDDED,C LANGUAGE,TESTER"
250,BACKEND,"NODEJS, JAVASCRIPT, GOLANG"
251,MOBILE," REACTJS,  REACT NATIVE, IOS"
252,DEVOPS,"SQL,POWERSHELL,RUBY,PYTHON,JAVASCRIPT"
253,JAVA,"KOTLIN,JAVA,GROOVY,MAVEN,CSS,SQL"
254,JAVA,"JAVA,ERP,SPRING"
255,GAME,"DART,JAVASCRIPT,C++,HTML5,LUA,C"
256,BUSINESS ANALYST,"MONGODB,TABLEAU,POWERSHELL"
257,PHP,"AJAX,PHP,JAVASCRIPT,LINUX,SQL,MYSQL"
258,SOFTWARE ARCHITECT,"ORACLE, SOFTWARE ARCHITECT, SPRING"
259,TESTER,"JAVA,KOTLIN,PYTHON"
260,BACKEND,"KUBERNETES,SQL,GOLANG,APACHE,KAFKA"
261,SOFTWARE,"GOLANG,C++,C#,PYTHON,R,SQL"
262,.NET,".NET CLI,REST,SQL,CI/CD,GIT,AZURE"
263,.NET," AGILE,  ASP.NET, SQL"
264,DATA ANALYST,"SQL SERVER,DATA WAREHOUSE,DATA REPORTING ANALYST,POWER BI SPECIALIST"
265,DATA,"DATABASE,DATA ANALYST,ORACLE"
266,FULLSTACK,"REACTJS, VUEJS, .NET"
267,PYTHON,"JAVASCRIPT,PYTHON"
268,DEVOPS,"JAVASCRIPT,BASH"
269,FULLSTACK,"DEVOPS, ENGLISH, GOLANG"
270,GAME,"C,JAVA,LUA,C#,DART,GOLANG"
271,JAVA,"SPRING, JAVA, CLOUD"
272,FULLSTACK,"GITHUB,RESTFUL APIS,MONIT,POSTGRESQL,NODEJS"
273,C/C++,"OOP, C LANGUAGE, C++"
274,BACKEND,".NET,MYSQL,C#"
275,TESTER," JAVA,  AUTOMATION TEST, TESTER"
276,TESTER,"PYTHON,C#,JAVA,JAVASCRIPT,KOTLIN,RUBY"
277,UI/UX DESIGNER," CSS,  DESIGNER, UI-UX"
278,JAVA,"POSTGRESQL, SPRING, JAVA"
279,JAVA," SPRING,  JAVA, KOTLIN"
280,DATA ANALYST,"AWS, SQL, PYTHON"
281,SOFTWARE,"BRIDGE SE, BRSE, JAPANESE - N2"
282,TESTER," EMBEDDED,  TESTER, LINUX"
283,SOFTWARE ARCHITECT,"CLOUD, ENGLISH, SOFTWARE ARCHITECT"
284,PRODUCT MANAGER," BUSINESS ANALYST,  PRODUCT MANAGER, PROJECT MANAGER"
285,SECURITY," JAVASCRIPT,  BLOCKCHAIN, PYTHON"
286,TESTER,"JAVA,JAVASCRIPT,KOTLIN,C#,PYTHON,RUBY"
287,GAME," UNITY, GAMES"
288,DATA," SQL,  PYTHON, ENGLISH"
289,GAME,"C,DART"
290,DEVOPS,"PERL,C"
291,BACKEND," MYSQL,  NODEJS, REACTJS"
292,DATA,"POWER BI,APACHE,MONGODB,JAVA,POSTGRESQL"
293,BACKEND,"POSTGRESQL, RUBY, RUBY ON RAILS"
294,SOFTWARE,"SQL,C++,JAVASCRIPT,C#"
295,GAME,"C#,GOLANG,LUA,PYTHON,C,C++"
296,SOFTWARE,"C#, SQL, MYSQL"
297,TECHNICAL MANAGER,"C LANGUAGE, MANAGER, EMBEDDED"
298,FULLSTACK,"WORDPRESS, JAVASCRIPT, PHP, VUEJS"
299,PRODUCT MANAGER,"DATA ANALYST, MANAGER, ENGLISH"
300,PHP," VUEJS,  PHP, LARAVEL"
301,SYSTEM,"SYSTEM, ENGLISH, SAP"
302,MOBILE,"RUBY,JAVASCRIPT,JAVA,DART"
303,C/C++," C LANGUAGE,  C++, EMBEDDED SYSTEM,  FIRMWARE"
304,BACKEND,"GOLANG, JAVA, BACK-END, SYSTEM ARCHITECT, SOFTWARE ARCHITECT"
305,JAVA,"SCALA,MAVEN,JSON,JAVA,JAVASCRIPT"
306,GAME,"LUA,C#"
307,JAVA,"HIBERNATE, BACK-END, JAVA, JAVA EE, SPRING, STRUTS"
308,SOFTWARE,"JAVA,JAVASCRIPT,MOBILE,REACT NATIVE,ANGULAR,FLUTTER"
309,JAVA,"HTML,GROOVY,SQL,JAVASCRIPT,SCALA"
310,BACKEND,"PHP,GOLANG,DOCKER,NOSQL,CI/CD"
311,BACKEND," JAVASCRIPT,  NODEJS, NOSQL"
312,.NET,"C#,GITLAB,CI/CD,.NET CLI,SQL,DOCKER"
313,TESTER,"QA QC,AUTOMATION TEST,AGILE"
314,UI/UX DESIGNER,"HTML,JAVASCRIPT,XML,CSS,FIGMA,PHOTOSHOP"
315,.NET,".NET,JAVASCRIPT,ASP.NET"
316,BACKEND,"NODEJS,AWS,TYPESCRIPT"
317,BUSINESS ANALYST,"POWER BI,TABLEAU,SQL,R"
318,BACKEND,"MYSQL, .NET, C#"
319,PHP,"JAVASCRIPT,MVC,MYSQL,PHP,HTML"
320,FULLSTACK,"GITHUB,JWT,MONIT,AWS,REACTJS,RESTFUL APIS"
321,PHP,"AJAX,LINUX,PHP,JAVASCRIPT,MYSQL"
322,JAVA,"SQL,JSON,KOTLIN,JAVA,APACHE,CSS"
323,DEVOPS,"LINUX, DEVOPS"
324,DATA," DATA,  MYSQL, PYTHON"
325,FRONTEND,"JAVASCRIPT,REACTJS,WORDPRESS"
326,GAME,"HTML5,JAVA,C++,C"
327,SOFTWARE," SYSTEM,  LINUX, NETWORK,  SOFTWARE"
328,SOFTWARE,"SOFTWARE, REACTJS, NODEJS, NESTJS, TYPESCRIPT"
329,SOFTWARE,"NODEJS, JAVA, .NET, REACT JS, BACK-END"
330,C/C++,"EMBEDDED, TESTER, C LANGUAGE"
331,FULLSTACK,".NET,ANGULARJS,ASP.NET"
332,SOFTWARE,"GOLANG,C++,R,SQL,JAVASCRIPT,RUBY"
333,DATA ANALYST,"JAVASCRIPT,SAS,GITHUB,SQL"
334,SOFTWARE,"C#, JAVASCRIPT, ASP.NET, WCF, .NET, SOFTWARE"
335,BACKEND,"JAVASCRIPT, GOLANG, NODEJS"
336,JAVA,"JSON,JAVASCRIPT,HTML,SCALA"
337,DATA,"PYTHON,SQL,MONGODB,SNOWFLAKE,POWER BI"
338,BUSINESS ANALYST,"R,EXCEL"
339,BACKEND,"PHP,BACK-END,AWS,NESTJS"
340,QA,"MANAGER,QA"
341,DATA,"GOLANG, PYTHON, JAVA"
342,GAME,"LUA,JAVA,GOLANG,HTML5"
343,GAME,"C#,JAVA,C,LUA,JAVASCRIPT"
344,TESTER,"RUBY,JAVASCRIPT,PYTHON,KOTLIN"
345,JAVA,"MAVEN,JAVASCRIPT,SCALA"
346,SOFTWARE,"MOBILE, JAVASCRIPT, JAVA, ANGULAR, REACT NATIVE, FLUTTER"
347,PHP,"JQUERY,JAVASCRIPT,LINUX,CSS,SQL,HTML"
348,BACKEND,"GOLANG,KAFKA,DOCKER,KUBERNETES"
349,GAME,"GOLANG,HTML5,JAVASCRIPT"
350,UI/UX DESIGNER,"JAVASCRIPT,PHOTOSHOP,XML,CSS,SKETCH,ADOBE XD"
351,JAVA,"JAVA,SCRUM,MYSQL, ACCEPTED"
352,FRONTEND,"GRAPHQL,NEXTJS,CSS,VUEJS,ANGULAR"
353,FRONTEND,"TYPESCRIPT,NEXTJS,JAVASCRIPT,GITHUB,VUEJS"
354,TESTER,"C#,  TESTER, MANUAL TEST"
355,SYSTEM,"LINUX,AWS,NETWORK,SYSTEM,POSTGRESQL"
356,TESTER,"AUTOMATION TEST, QA QC, TESTER"
357,GAME,"GOLANG,C#,JAVA"
358,JAVA,"KOTLIN,SCALA"
359,UI/UX DESIGNER,"CSS,FIGMA,XML,ADOBE XD"
360,SOFTWARE,"NODEJS, SOFTWARE ARCHITECT, PYTHON"
361,SYSTEM ADMIN,"SYSTEM ADMIN, NETWORKING, IT SUPPORT"
362,.NET," UI-UX,  .NET, NODEJS"
363,CLOUD," CLOUD, AZURE"
364,UI/UX DESIGNER,"FIGMA,JAVASCRIPT,CSS,ADOBE XD"
365,JAVA,"JAVA,ORACLE,POSTGRESQL"
366,DATA ANALYST,"SQL,POWER BI,R,JAVA,C/C++,PYTHON"
367,C++," API,  SOCKET.IO, C/C++,  QT FRAMEWORK,  MFC"
368,DATA,"PYTHON,SCALA,JAVA"
369,DEVOPS,"NODEJS, DEVOPS, CLOUD"
370,TESTER,"C#,KOTLIN,PYTHON"
371,DATA,"KOTLIN, JAVA, PYTHON"
372,MOBILE," IOS,  SWIFT, ANDROID,  MOBILE,  KOTLIN"
373,.NET,"ENGLISH, .NET, CLOUD"
374,FULLSTACK,"JAVASCRIPT, NODEJS, MYSQL"
375,UI/UX DESIGNER,"JAVASCRIPT,HTML,XML,ADOBE XD,FIGMA,CSS"
376,BUSINESS ANALYST,"JAPANESE, ENGLISH, BUSINESS ANALYST"
377,FRONTEND,"GITHUB,NPM"
378,JAVA,"SPRING, NETWORKING, JAVA"
379,.NET," CLOUD,  .NET, ENGLISH"
380,DATA," KOTLIN,  PYTHON, JAVA"
381,QA," QA, AUTOMATION QA"
382,FRONTEND,"JAVASCRIPT,TYPESCRIPT,REACTJS, ACCEPTED"
383,BACKEND,"KAFKA,PYTHON"
384,TESTER,"JAVASCRIPT,C#,KOTLIN,JAVA,RUBY,PHP"
385,SOFTWARE,"ASP.NET,C#,WPF,WINFORM,AZURE"
386,BACKEND,"SCRUM, .NET, ANGULAR"
387,FRONTEND,"UI-UX, HTML5, CSS"
388,MOBILE,"SWIFT, KOTLIN, OBJECTIVE C"
389,BUSINESS ANALYST,"MONGODB,JAVASCRIPT,EXCEL,PYTHON,SQL"
390,BUSINESS ANALYST," ENGLISH,  BUSINESS ANALYST, SCRUM"
391,JAVA,"JAVASCRIPT,JAVA,HTML,MAVEN,SCALA,SQL"
392,SOFTWARE ARCHITECT,"NODEJS,.NET,VUEJS, ACCEPTED"
393,FRONTEND,"REACTJS,ANGULAR,JAVASCRIPT"
394,JAVA,"JAVASCRIPT,GROOVY,APACHE,KOTLIN,MAVEN"
395,FULLSTACK,"RESTFUL APIS,MONIT,LINUX,NODEJS,POSTGRESQL"
396,FRONTEND,"JAVASCRIPT,DRUPAL,CSS"
397,BUSINESS ANALYST," BUSINESS ANALYST,  AGILE, ENGLISH,  TECHNICAL WRITER"
398,FRONTEND,"JAVASCRIPT,VUEJS,ANGULAR"
399,.NET,".NET,MVC,ASP.NET"
400,JAVA,"JAVASCRIPT,GROOVY,APACHE,JAVA"
401,UI/UX DESIGNER,"ADOBE XD,HTML,FIGMA"
402,UI/UX DESIGNER,UX/UI DESIGN
403,MOBILE,"REACT NATIVE,SWIFT,DART,PYTHON,JAVA"
404,BUSINESS ANALYST,"R,VBA,SAS,JAVASCRIPT"
405,SOFTWARE,"SQL, JAVASCRIPT, PYTHON"
406,JAVA,"JSON,MAVEN,KOTLIN,CSS,JAVASCRIPT,GROOVY"
407,DATA,"SQL, DATABASE"
408,SOFTWARE,"JAVA,REACTJS,TYPESCRIPT"
409,JAVA,"JSON,SCALA,APACHE,SQL,KOTLIN,CSS"
410,SOFTWARE," JAVASCRIPT,  PHP, ASP.NET"
411,FRONTEND,"PHP, HTML5, WORDPRESS"
412,MOBILE,"REACT NATIVE,C#,JAVASCRIPT,SWIFT,C++"
